membership_raw,membership_group
365 Standard,365 Annual
365 Day Pass Standard,365 Annual
365 Day Pass Plus,365 Annual
365 Plus,365 Annual
365 Day Pass Plus SALE,365 Annual
365 Day Founding Plus,365 Annual
365 Day Founding Standard,365 Annual
365 Day Pass Standard SALE,365 Annual
365 Day Pass Standard Vancouver $169/year (Mobi),365 Annual
365 Day Founding Plus $119/year Vancouver (Mobi),365 Annual
365 Day Founding Standard Vancouver (Mobi),365 Annual
365 Day Founding Standard $99/year Vancouver (Mobi),365 Annual
Annual pass $169/year Vancouver (Mobi),365 Annual
Annual pass Vancouver (Mobi),365 Annual
Annual pass (SALE) Vancouver (Mobi),365 Annual
Archived Founding Standard,365 Annual
Archived Founding Plus,365 Annual
FULL SEASON PASS (Mobi),365 Annual
365 Corporate Plus,Corporate
365 Corporate Plus Renewal,Corporate
365 Corporate Standard,Corporate
365 Corporate Standard Renewal,Corporate
365 Corporate Plus Renewal Vancouver (Mobi),Corporate
365 Corporate Standard Renewal Vancouver (Mobi),Corporate
365 Corporate Plus Renewal $119/year Vancouver (Mobi),Corporate
365 Corporate Standard Renewal $99/year Vancouver (Mobi),Corporate
365 Corporate Standard Vancouver (Mobi),Corporate
Corporate Pass $119/year Vancouver (Mobi),Corporate
UBC Inclusive Corporate Pass Vancouver (Mobi),Corporate
UBC Inclusive Corporate Pass,Corporate
Corporate Monthly Pass,Corporate
Rogers Corporate Pass (Mobi),Corporate
BEST Staff Free Annual Pass,Corporate
GOCF Monthly Staff Pass,Corporate
Simplii Financial Pass $79/month,Corporate
Herbaland Pass,Corporate
30 Day Pass,Monthly
30 Day Pass New,Monthly
Monthly Pass $49/month Vancouver (Mobi),Monthly
Archived Monthly Standard,Monthly
Archived Monthly Plus,Monthly
Archived Monthly Basic,Monthly
90 Day,Monthly
Archived 90 Day,Monthly
Bike Buddy Monthly Pass,Monthly
24 Hour,Casual
24 Hour New,Casual
Pay Per Ride,Casual
Pay as you go Vancouver (Mobi),Casual
Single Trip Pass,Casual
Archived Single Trip Pass,Casual
Archived Day,Casual
Promo Day,Casual
Promo Day Vancouver (Mobi),Casual
RideLink Pay Per Ride,Casual
Limited Classic Bikes Only (PPR),Casual
Limited Classic Bikes Only (30 min),Casual
Limited Classic Bikes Only (60 min),Casual
Limited - Classic Bikes Only,Casual
Community Pass,Community
Community Pass Vancouver (Mobi),Community
Community Pass E-bike,Community
Community Pass E-bike Vancouver (Mobi),Community
Community Pass E-bike (PWD),Community
Community Pass E-bike (PWD) Vancouver (Mobi),Community
Vancity Community Pass,Community
Youth Community Pass,Community
Youth Community Pass Vancouver (Mobi),Community
VIP,Promo & Other
VIP Tour,Promo & Other
VIP Tour E-bike,Promo & Other
Broadway Buzz Pass #1,Promo & Other
Broadway Buzz Pass #2,Promo & Other
Broadway Buzz Pass #3,Promo & Other
Broadway Buzz Pass #4,Promo & Other
Broadway Buzz Pass #5,Promo & Other
Promo Weekly,Promo & Other
Go by Bike Weekly Pass,Promo & Other
Special Weekly Pass,Promo & Other
UBC Weekly Promo Pass,Promo & Other
Rogers 3-Month Promo Pass,Promo & Other
MOBI INFLUENCER PASS,Promo & Other
HOPR Pass,Promo & Other
Shared Mobility Pass,Promo & Other
Maintenance,Operations
None,Unknown
